鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
大安區,房地(土地+建物)+車位,和平東路一段91~120號,37.72,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參之壹種住宅區及第參種住宅區及第貳種商業區)。,,,1090305,土地1建物1車位3,二十六層,三十八層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1031224,596.2,1,2,5,有,有,273000000,515152,坡道平面,83.73,9000000,,RPUNMLQJIIPFFFA48DA,292.61,10.7,25.48,有
中正區,房地(土地+建物),門街121~150號,5.24,都市：其他:第二種商業區。,,,1090905,土地1建物1車位0,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990825,42.95,1,1,1,有,有,8110000,188824,,0.0,0,其他增建;,RPQOMLRJIIPFFAA87EA,23.22,0.0,2.45,有
大同區,房地(土地+建物),民權西路211~240號,5.03,都市：其他:聯合開發區(捷)。,,,1090731,土地3建物1車位0,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,53.239999999999995,1,1,1,有,有,12720000,238918,,0.0,0,,RPUNMLRJIIPFFBA28EA,32.31,0.0,4.99,有
大同區,房地(土地+建物),民權西路211~240號,5.03,都市：其他:聯合開發區(捷)。,,,1090808,土地3建物1車位0,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080625,53.239999999999995,1,1,1,有,有,13500000,253569,,0.0,0,,RPVNMLRJIIPFFBA38EA,32.31,0.0,4.99,有
大同區,房地(土地+建物)+車位,承德路三段151~180號,10.88,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第肆種住宅區)。,,,1090821,土地2建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951016,115.01,2,1,1,有,有,16500000,143466,坡道平面,0.0,0,,RPPOMLRJIIPFFBA87EA,62.64,0.0,4.28,有
中山區,房地(土地+建物)+車位,建國北路一段121~150號,4.49,都市：其他:第三之二種住宅區及第三種住宅區。,,,1090911,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990318,72.97,1,1,1,有,有,10780000,262717,升降平面,39.55,2000000,陽台外推;夾層;其他增建;,RPUPMLRJIIPFFCA58EA,31.67,0.86,3.61,有
中山區,房地(土地+建物),林森北路301~330號,4.52,都市：其他:第肆種商業區(依都市計畫說明書圖規定辦理，始得作第肆種商業區使用)(原屬第參種商業區)。,,,1090914,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0990409,47.56,1,1,1,有,有,9820000,206476,,0.0,0,,RPVOMLSJIIPFFCA68EA,26.77,0.0,3.88,有
南港區,房地(土地+建物)+車位,經貿二路235巷31~60號,54.54,都市：其他:住宅區(供商務住宅使用)。,,,1090806,土地1建物1車位2,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1031204,330.29999999999995,4,2,3,有,有,72380000,219134,坡道平面,0.0,0,,RPUOMLTLRHPFFDA17EA,167.95,0.0,17.09,有
北投區,房地(土地+建物)+車位,清江路25巷1~30號,16.35,都市：其他:第三種商業區。,,,1090910,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0910207,177.44,3,2,2,有,有,23600000,133003,坡道平面,0.0,0,陽台外推;,RPXPMLRJIIPFFEA09EA,94.89,0.46,9.98,有
大安區,房地(土地+建物)+車位,信義路二段61~90號,10.84,都市：其他:第三種住宅區。,,,1060914,土地2建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080903,134.70999999999998,2,1,1,有,無,46700000,459448,坡道平面,40.14,3250000,預售屋、或土地及建物分次登記案件;,RPRNMLMKIIPFFFA97EA,55.91,2.82,5.4,有
大安區,房地(土地+建物)+車位,信義路二段61~90號,11.69,都市：其他:第三種住宅區。,,,1060914,土地2建物1車位1,十層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1080903,141.42000000000002,1,1,2,有,無,47590000,437796,坡道平面,40.14,3250000,預售屋、或土地及建物分次登記案件;,RPSNMLMKIIPFFFA08EA,58.79,1.77,7.71,有
大安區,房地(土地+建物)+車位,市民大道三段151~180號,38.95,都市：其他:第三之二種住宅區。,,,1090926,土地2建物1車位2,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050111,374.35,3,1,4,有,有,112678999,300999,坡道平面,0.0,0,政府機關標讓售;,RPSNMLSJIIPFFFA58EA,188.9,12.23,23.42,有
大安區,房地(土地+建物)+車位,市民大道三段181~210號,32.9,都市：其他:第三之二種住宅區。,,,1090926,土地2建物1車位2,九層,二十三層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1050111,321.67999999999995,3,1,4,有,有,95236999,296061,坡道平面,0.0,0,政府機關標讓售;,RPTNMLSJIIPFFFA68EA,163.0,10.69,14.48,有
北投區,房地(土地+建物)+車位,承德路七段151~180號,29.77,都市：其他:第三種住宅區。,,,1090917,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030417,243.51999999999998,4,2,2,有,有,43500000,178630,坡道平面,36.65,0,,RPTPMLRJIIPFFEA68EA,124.51,6.46,12.2,有
松山區,房地(土地+建物),三民路43巷1~30號,48.36,都市：其他:第三種住宅區。,,,1090908,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951218,224.58,3,2,2,有,有,46500000,207053,,0.0,0,,RPVPMLSJIIPFFDA88EA,117.24,4.07,11.24,有
中山區,房地(土地+建物),民權東路三段61~90號,17.8,都市：其他:第參種商業區(依都市計畫說明書圖規定辦理，始得作第參種商業區使用)(原屬第參種住宅區及第參之貳種住宅區)。,,,1090828,土地1建物1車位0,九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0751125,177.60999999999999,3,2,2,有,有,36600000,206069,,0.0,0,,RPWOMLSJIIPFFCA78EA,126.12,0.0,17.55,有
